Date,Revenue,Cost_of_Goods,Operating_Expenses,Assets,Liabilities,Cash_Inflow,Cash_Outflow
Jan-2023,50000,20000,10000,150000,60000,52000,30000
Feb-2023,52000,21000,11000,151000,60500,54000,31000
Mar-2023,55000,22000,12000,152500,61000,56000,32000
Apr-2023,58000,24000,13000,154000,61500,60000,33000
May-2023,60000,25000,14000,156000,62000,62000,35000
Jun-2023,62000,26000,15000,158000,63000,64000,36000
Jul-2023,65000,27000,16000,160000,64000,67000,38000
Aug-2023,67000,28000,17000,162000,65000,69000,39000
Sep-2023,70000,30000,18000,164000,66000,72000,40000
Oct-2023,72000,31000,19000,166000,67000,74000,42000
Nov-2023,75000,32000,20000,168000,68000,77000,44000
Dec-2023,78000,34000,21000,170000,69000,80000,46000
Jan-2024,80000,35000,22000,172000,70000,82000,47000
Feb-2024,82000,36000,23000,174000,71000,84000,48000
Mar-2024,85000,37000,24000,176000,72000,87000,50000
Apr-2024,88000,39000,25000,178000,73000,90000,52000
May-2024,90000,40000,26000,180000,74000,92000,53000
Jun-2024,93000,42000,27000,182000,75000,95000,55000
Jul-2024,96000,43000,28000,185000,76000,98000,57000
Aug-2024,98000,44000,29000,187000,77000,100000,58000
Sep-2024,100000,46000,30000,190000,78000,102000,60000
Oct-2024,103000,47000,31000,192000,79000,105000,62000
Nov-2024,106000,48000,32000,195000,80000,108000,64000
Dec-2024,110000,50000,33000,200000,82000,112000,66000
